protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC100116878.1.1.m.11654,-0.000345102769599622,-0.0101760755663301,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100116878.1.1.m.11655,-0.0127996976841976,-0.00187357169528328,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100117365.1.1.m.37817,0.011522267766229,-0.00982001710725696,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100117425.1.1.m.1256,-0.00768894417613864,0.0140438896840013,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100117775.2.2.m.59969,-0.0113202330774337,-0.0229873817814677,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100117917.1.1.m.21225,-0.0056644310222435,0.0134565257807401,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118048.1.1.m.62637,-0.00460793137025128,0.018453204839359,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118048.1.1.m.62638,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118063.2.4.m.29108,-0.00484928606837299,-0.00130243348659269,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118098.1.1.m.14795,-0.00223592291623352,-0.0171743853640879,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118291.1.1.m.54817,0.00728787936946768,0.00512893240873111,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118354.1.4.m.27048,-0.00759277869328328,-0.024272956511215,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118354.2.4.m.44636,-0.0196612316966861,-0.00934630321432327,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118464.1.1.m.33259,0.0131581138999359,-0.0196289174205163,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118502.1.1.m.57420,0.00874393756851279,0.00787814344347635,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100118811.1.1.m.57633,-0.00592120980779047,-0.0161739316354814,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100119008.1.1.m.43229,0.0157958277754932,0.0059722509420473,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100119236.1.1.m.22785,-0.00580694039182053,0.00297980828235878,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100119310.1.1.m.22031,0.00479861655028833,0.00709961683006351,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100119310.1.1.m.22032,0.014294243443551,0.00638291837366245,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100119577.1.1.m.47861,-0.0163646578228863,-0.00579701907949239,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100119750.1.1.m.7019,-0.0068640177371683,0.00129669008728359,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100120123.1.1.m.12979,-0.0141580687406799,-0.0217990067680008,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100120260.1.1.m.41887,0.0050255609851024,-0.00338956745493145,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100120260.1.1.m.41888,-0.00235533607224539,0.00969505122748578,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100120440.1.1.m.15371,0.0107509131953341,-0.0131524750789273,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100120677.1.1.m.16799,0.00205195042830453,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100120994.1.1.m.54109,0.00310111912595652,-0.00621561248533197,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121360.1.1.m.56328,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121363.1.1.m.46369,-0.000125633965456196,0.00745923387923667,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121425.1.1.m.10532,-0.0142535379546296,0.00601979769117474,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121687.1.1.m.57141,-0.0127667535138982,-0.0101883921321709,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121788.1.1.m.28436,0.0226919466318778,-0.00511988205231901,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121969.1.1.m.52130,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121991.1.1.m.13778,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100121999.3.4.m.54805,0.00333374632100331,0.012149634643778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122037.1.1.m.12516,-0.0107169215157978,-0.012247792725921,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122067.1.1.m.49811,-0.00551845142968343,-0.0128803747314139,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122208.1.1.m.58545,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122211.1.1.m.56146,0.00794162851322759,-0.0022794727477885,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122269.1.1.m.8408,0.0171158468803641,-0.0155359130173887,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122293.2.2.m.61265,0.0213550633873502,0.00791033359967058,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122438.2.2.m.60108,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100122904.1.1.m.45984,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123075.1.1.m.8128,0.00991810298556511,0.00652537253880201,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123216.1.1.m.28671,0.0149915756639488,0.00415478715339973,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123238.1.1.m.27155,-0.0017624764605385,0.00931273221999445,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123307.1.1.m.13647,-0.00148623171269929,-0.0106475591315987,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123521.1.2.m.20656,0.00981207841815057,0.0118134115231091,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123521.2.2.m.52492,-0.00978994437037825,0.0191442109521422,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123553.1.1.m.34041,-0.00844486586247145,-0.0126035830948388,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123595.1.2.m.63353,0.00314728514279022,0.0113879006430806,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123629.1.1.m.841,0.00939804158029619,0.016191476153913,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123667.1.1.m.22353,-0.0109794606400968,0.000162621648156566,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123810.2.2.m.52182,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123890.1.1.m.11450,0.00160979636406568,-0.00397985419154334,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100123907.1.1.m.2987,-0.0122664413528651,-0.0115285740637564,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100136190.1.1.m.9460,-0.0147961696885489,-0.0150470795328045,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100142119.1.2.m.2339,0.0068606934399024,-0.0127582097547693,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100142249.1.1.m.55762,0.0144403082077602,-0.000318010352515788,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100145215.1.1.m.6904,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100146233.1.1.m.36400,0.00312663482927925,-0.0128391311157744,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100148223.1.1.m.10633,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100150876.1.1.m.61100,-0.0140775843183191,-0.0109895421460064,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100158931.1.1.m.8283,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100160077.1.1.m.62645,0.0210262292879741,0.00434119813803984,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100160385.1.2.m.40193,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100160412.2.2.m.56352,0.0202404907605143,-0.00369213745708798,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100161158.1.1.m.14383,-0.00405291054512085,-0.024189947362605,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100161360.1.1.m.65809,-0.00771942834166464,0.0020531798267115,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100162380.1.1.m.23942,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100162439.1.1.m.19182,-0.0225758941271488,0.0100089672352537,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100164363.1.1.m.61731,0.0212047526102126,-0.000187189970322817,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100164899.1.1.m.59665,0.0196853094961972,0.00508278699164584,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100165317.1.1.m.8504,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100165581.1.1.m.18008,-0.0127701275468002,-0.00751309397268585,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100165685.1.1.m.13583,0.0113586921788261,-0.0174829128655453,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100165703.1.1.m.48642,-0.00433312553323825,0.0148439312491398,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100166052.1.1.m.46867,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100166353.1.1.m.4625,-0.00152142873133229,0.00617027713382105,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100166368.1.1.m.44709,0.0182465604822933,-4.85674398084432e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100167728.1.2.m.2289,0.0164615431928211,-0.00638806734905957,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168017.1.1.m.40316,0.00814157431830068,0.00624829488022073,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168209.1.1.m.26697,-0.0156825470811019,-0.0141374711751013,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168368.1.1.m.18551,-0.0172089298399944,-0.000470195393690518,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168569.1.2.m.11752,0.00690276889216921,-0.00524139015712852,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168620.4.4.m.40081,-0.0233899720839929,0.00681337515598701,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168796.1.1.m.4672,0.0118780172288429,-0.00861172912423705,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100168945.1.1.m.37004,0.00720021905041681,-0.00748076296067543,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100169229.1.1.m.25981,0.013428940929682,-0.00845610169689392,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100169297.1.1.m.48433,0.0056280996361156,-0.00920112079936486,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100169460.1.1.m.41302,-0.0103336604894421,-0.0160828821335029,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100174996.1.1.m.27300,-0.011638478390256,0.0163861825021615,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175021.11.11.m.63958,-0.0225195175647611,0.0105616078079178,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175021.7.11.m.58378,-0.0226209227835436,0.0104639392189706,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175702.1.1.m.56240,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175722.1.3.m.11427,-0.022836308084121,0.00110576013836782,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175867.1.1.m.48982,0.0220297716975204,-0.00398486116826211,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175959.1.7.m.1896,0.00592650520697237,0.0170294987050215,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175959.4.7.m.28172,0.0158841267455068,0.00378386601342906,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100176099.1.1.m.40368,-0.0226660731950101,0.0103136371484895,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100176232.1.1.m.24645,-0.0111167728476614,0.012704454148507,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100176461.1.1.m.63236,0.00389697115569566,-0.018237162614077,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100176721.6.6.m.66056,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100176799.1.1.m.3132,0.00732147317789014,0.00757536514658319,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100177459.1.2.m.48730,-0.0166140425151566,-0.00255346631809479,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100177679.1.1.m.54177,0.0170619495408465,-0.00105096250922477,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100177909.1.1.m.29356,-0.00825870982837165,-0.00569493444874794,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178034.1.2.m.13282,0.00369389670498532,-0.0221582268669402,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178081.1.1.m.56365,-0.0110163051006116,-0.00626005013522281,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178400.1.1.m.4321,0.0121727015873632,0.00566514915705466,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178700.1.1.m.37554,1.21932944694661e-05,-0.0150189768656922,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178916.1.1.m.26391,0.00144504559436104,0.00241014933159197,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100179134.1.1.m.23870,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100179300.1.2.m.22734,0.00234157568115589,-0.0226326514171387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100179357.5.6.m.45322,-0.00933607545514702,-0.0131763921759547,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100179448.1.1.m.8298,0.0145450806052374,-0.0159149470042999,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100179516.1.2.m.45110,-0.00619205211203462,0.0140005030332395,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100179516.2.2.m.49937,-0.0188070252011331,-0.011186417132784,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180023.1.7.m.11060,0.0187135374063454,0.00835540511622569,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180023.4.7.m.33650,0.00693617164878211,-0.00437363203359092,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180023.5.7.m.56825,-0.00140715909295775,0.0184858756909203,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180543.1.1.m.4746,0.0116080605034459,0.000655133899113222,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180636.1.1.m.66440,-0.00707256869157015,-0.0244596125628067,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180716.1.2.m.860,0.00833787358705474,0.0134771919703949,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180855.2.4.m.46097,-0.00554095575369029,0.00490069280003891,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180855.4.4.m.66721,0.000333889428883075,-0.017478697038703,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180883.1.1.m.46611,-0.0153814647227071,-0.00926149085224138,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181095.1.1.m.8314,-0.0161517387265149,-0.0136870608112134,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181159.1.1.m.6127,0.0164050228327432,0.0116739602305524,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181343.1.1.m.59214,-0.00144464179791636,0.0109420199617183,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181350.1.1.m.2782,0.0107276502576377,-0.00421997911707979,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181355.1.1.m.48652,-0.00087029365091398,0.0101755781793627,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181607.1.2.m.36709,0.00514855925077097,0.0150303605975186,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181826.1.1.m.16288,0.016468708714172,-0.013400698681544,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181873.1.2.m.45633,-0.0161807335044597,0.00575061890310338,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100182131.1.1.m.26023,-0.0104972413773375,-0.00613333714964988,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100182237.2.2.m.33734,0.0053332714151053,-0.00662314748865823,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100182352.2.2.m.64092,0.00921854781205281,-0.000385158834362566,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100182585.1.2.m.2597,-0.0115800206619455,0.0138938484965596,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100182585.2.2.m.24665,-0.0124394756928235,-0.0105358190793683,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183353.1.1.m.54920,-0.0208265537843917,-0.00633115194211932,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183535.2.2.m.10350,0.0064753261328774,-0.0222614413084464,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183583.1.2.m.3863,0.00233262656938684,0.00381988769190555,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183682.1.1.m.61630,-0.00435849065020859,-0.00200182004048557,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183847.1.2.m.12797,0.00877477987889007,-0.0108387434303154,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100184284.2.2.m.21644,-0.0135699987964098,0.00109585836144133,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100184451.1.8.m.30146,-0.0193380952515047,-0.00500261526639804,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100184874.1.1.m.41851,0.00285648003582159,-0.0118696742595288,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185060.2.2.m.18100,-0.020659010800564,0.00291036886499921,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185271.1.1.m.19210,-0.0160432327424547,-0.00205026519276218,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185431.1.1.m.43063,-0.00493178552001811,0.000978118762300835,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185443.1.1.m.60976,-0.0136580166859312,-0.0125710148384837,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185472.1.1.m.66178,-0.0191216993725732,0.00382578141823075,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185473.1.1.m.5316,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185549.1.6.m.31232,-0.0141588325602375,0.0180643552239849,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185549.5.6.m.62694,-0.0136318407793091,0.000735247249010064,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185846.1.1.m.37884,0.00450979407304396,0.00240188493990222,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186070.1.1.m.3415,0.00327263915362653,-0.0199052002194721,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186203.1.1.m.7875,0.000974287195793683,-0.0248116642069902,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186203.1.1.m.7876,0.0177576685914473,-2.35148278220192e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186276.4.5.m.12980,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186299.6.6.m.52749,-0.00511696217430676,0.00688022320465195,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186360.1.2.m.50759,-0.00914555502450454,-0.00673573459339618,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186361.3.3.m.66600,0.0146984744170324,-0.00659330649745044,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186692.1.1.m.7600,0.00820103450890412,-0.00332121644805976,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186733.1.1.m.7066,-0.00409363514267554,0.00657738457568919,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186936.1.2.m.12235,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100187037.1.1.m.55673,0.00364778592941831,-0.00872052841558096,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100187348.1.1.m.29904,-0.0221476255289814,0.00946201692822377,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100197130.2.2.m.39076,0.0225586458939367,-0.0100202320178978,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100197511.1.1.m.22053,0.00485066861906355,-0.0167099787245624,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100197876.1.1.m.45271,-0.0141609238173163,0.000592085466041568,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100198049.1.1.m.13866,-0.00812206323589506,-0.00233107376169546,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199222.1.1.m.17588,-0.00351645454522816,-0.00166150165379932,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199246.1.1.m.43478,0.00027306542245115,-0.00360830647618735,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199379.1.2.m.59875,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199379.2.2.m.63866,0.02248670957159,-0.00926640240055931,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199505.1.2.m.19947,0.0038156662748224,0.00143876481318027,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199505.2.2.m.25542,-0.00212078832001384,-0.00891837260408135,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199663.1.1.m.22109,-0.00403777567377234,-0.011296511554083,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199980.1.2.m.51259,-0.01461979773025,0.00115633755513714,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199980.2.2.m.62743,0.0142419266575625,-0.00807594452807473,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199980.2.2.m.62746,0.0150697274016039,0.00508921200621113,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100200137.1.1.m.23041,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100200424.1.1.m.16669,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100201155.1.1.m.58066,-0.0170061038156037,-0.0129480601615781,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100202203.1.1.m.27309,-0.0119090970095578,-0.00785628591018558,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100202812.1.1.m.31203,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100204502.1.2.m.26864,0.0164506533869523,-0.011703185302921,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100205674.1.1.m.5810,0.00214458710842414,-0.00437216903510538,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100206475.1.16.m.4004,0.0179015527228967,0.00938493674889615,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100206557.1.1.m.11857,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100207121.5.9.m.48175,-0.00398316179161544,-0.00721828306499384,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100207216.2.2.m.28185,-0.0225596172098966,0.0105321518533811,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100208023.1.8.m.8628,0.00717763100229128,7.53168554730294e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100208023.8.8.m.49917,0.0022483469491002,-0.0134421727423715,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100208544.1.1.m.54499,0.00221846364240289,0.00471494410248019,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100210536.1.1.m.18414,-0.00500391529890689,-0.000360491987248254,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100210677.7.8.m.42871,0.0228014491137023,0.00570563624714581,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100210677.8.8.m.43132,0.0185208695851769,0.00970905250653318,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100211409.1.1.m.4742,0.0106214250670838,0.011550475639007,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100211409.1.1.m.4743,0.011555782082222,-0.010585169778603,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100212224.1.1.m.37724,0.0119157478046093,0.00859068518565678,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100212386.1.2.m.33906,0.00609061299464091,0.000177605144994915,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100212698.1.1.m.5807,-0.0126322559015485,-0.00719496258350812,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100213495.2.2.m.51531,0.00491588973115351,-0.000600714720400962,No,NA,NA,NA,NA,NA,NA,NA,NA
